...Logging started...
0.0405298: Server Started
9.2920835: RespondedAwaitingApproval 371932531141727072 127.0.0.1
9.3492657: RespondedConnect 371932531141727072 127.0.0.1
9.4522629: Connected 371932531141727072 127.0.0.1
9.4865415: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: StartVoIP( 1 )

9.5005579: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetPlayerId( 0 )

9.5941326: AreaChange 371932531141727072 127.0.0.1
9.694951: Instantiate 371932531141727072 127.0.0.1
	NetworkId: 1
	Prefab: Player
	Loc: -14.46048, 0.5, 14.54582
	Orientation: 0, 1, 0, 0
9.7371565: RPC ServerOnly NetSyncId: -1 Function: PlayerGameObjectSpawned( 0, 1 )

9.7549527: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: 1 Function: SetMovementSpeed( 150 )

9.7603303: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetFieldOfView( 10 )

66.2659267: => Outgoing RPC Sent to: AllClients as SingleClient NetSyncId: 502 Function: SetMaterial( True )

66.2853011: => Outgoing RPC Sent to: AllClients as SingleClient NetSyncId: -1 Function: SetHunter( 1 )

66.8845799: SyncUpdate -4898042817635671159 127.0.0.1
66.983652: LiteSyncUpdate -4898042817635671159 127.0.0.1
67.4991456: SyncUpdate -4898042817635671159 127.0.0.1
67.5877682: SyncUpdate -4898042817635671159 127.0.0.1
68.071877: SyncUpdate -4898042817635671159 127.0.0.1
68.3902363: SyncUpdate -4898042817635671159 127.0.0.1
69.0782122: SyncUpdate -4898042817635671159 127.0.0.1
69.1767167: SyncUpdate -4898042817635671159 127.0.0.1
69.2807753: SyncUpdate -4898042817635671159 127.0.0.1
69.6966761: SyncUpdate -4898042817635671159 127.0.0.1
69.8068457: SyncUpdate -4898042817635671159 127.0.0.1
69.899701: SyncUpdate -4898042817635671159 127.0.0.1
69.9947639: SyncUpdate -4898042817635671159 127.0.0.1
70.4065894: SyncUpdate -4898042817635671159 127.0.0.1
70.5813064: SyncUpdate -4898042817635671159 127.0.0.1
70.8708774: SyncUpdate -4898042817635671159 127.0.0.1
71.0002867: SyncUpdate -4898042817635671159 127.0.0.1
71.0972843: SyncUpdate -4898042817635671159 127.0.0.1
71.1913471: SyncUpdate -4898042817635671159 127.0.0.1
71.5597995: SyncUpdate -4898042817635671159 127.0.0.1
71.696109: SyncUpdate -4898042817635671159 127.0.0.1
71.7659729: SyncUpdate -4898042817635671159 127.0.0.1
72.1187624: SyncUpdate -4898042817635671159 127.0.0.1
72.2480898: SyncUpdate -4898042817635671159 127.0.0.1
72.3310885: SyncUpdate -4898042817635671159 127.0.0.1
72.4214983: SyncUpdate -4898042817635671159 127.0.0.1
72.7380991: SyncUpdate -4898042817635671159 127.0.0.1
72.8755187: SyncUpdate -4898042817635671159 127.0.0.1
72.9782803: SyncUpdate -4898042817635671159 127.0.0.1
73.4644818: SyncUpdate -4898042817635671159 127.0.0.1
73.5405825: SyncUpdate -4898042817635671159 127.0.0.1
73.9606985: SyncUpdate -4898042817635671159 127.0.0.1
74.0541423: SyncUpdate -4898042817635671159 127.0.0.1
74.3697052: SyncUpdate -4898042817635671159 127.0.0.1
74.4621759: SyncUpdate -4898042817635671159 127.0.0.1
74.9263246: SyncUpdate -4898042817635671159 127.0.0.1
74.9970572: SyncUpdate -4898042817635671159 127.0.0.1
75.3027899: SyncUpdate -4898042817635671159 127.0.0.1
75.4163129: SyncUpdate -4898042817635671159 127.0.0.1
76.198114: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: 502 Function: SetMovementSpeed( 180 )

76.2420837: SyncUpdate -4898042817635671159 127.0.0.1
76.957178: SyncUpdate -4898042817635671159 127.0.0.1
77.0899667: SyncUpdate -4898042817635671159 127.0.0.1
77.1761197: SyncUpdate -4898042817635671159 127.0.0.1
77.2949406: SyncUpdate -4898042817635671159 127.0.0.1
77.3863618: SyncUpdate -4898042817635671159 127.0.0.1
77.502786: SyncUpdate -4898042817635671159 127.0.0.1
77.6094529: SyncUpdate -4898042817635671159 127.0.0.1
77.7046835: SyncUpdate -4898042817635671159 127.0.0.1
77.8054006: SyncUpdate -4898042817635671159 127.0.0.1
77.9667581: SyncUpdate -4898042817635671159 127.0.0.1
78.1179699: SyncUpdate -4898042817635671159 127.0.0.1
78.2121837: SyncUpdate -4898042817635671159 127.0.0.1
78.3380931: SyncUpdate -4898042817635671159 127.0.0.1
78.4063493: SyncUpdate -4898042817635671159 127.0.0.1
78.5260882: SyncUpdate -4898042817635671159 127.0.0.1
